State,Urbanization,Tax Burden Overall,Property Tax Burden,Income Tax Burden,Sales Tax Burden,Tax Overall Rank,Corporate Tax Rank,Individual Income Tax Rank,Sales Tax Rank,Property Tax Rank,Unemployment Insurance Tax Rank,Finance Score,Finance Rank,Performance Score,Performance Rank,Overall Score,Overall Rank,Capital Disbursements Per Lane Mile,Maintenence Disbursements Per Lane Mile,Admin Disbursements Per Lane Mile,Total Disbursements Per Lane Miles,Rural Interstate Poor Condition,Urban Interstate Poor Condition,Rural OPA Poor Condition,Urban OPA Poor Condition,Percent Deficient Bridges,Percent Structurally Deficient Bridges,Total Fatilities Per 100 mil. VMT,Rural Fatalities Per 100 mil. VMT,Urban Fatalities Per 100 mil. VMT,State_Hours_Lost_In_Congestion,Cost of Doing Business,INFRASTRUCTURE,"LIFE, HEALTH & INCLUSION",WORKFORCE,ECONOMY,BUSINESS FRIENDLINESS,ACCESS TO CAPITAL,TECHNOLOGY & INNOVATION,EDUCATION,Cost of Living,RPP
Ohio,10.88,8.96,2.78,2.54,3.64,39,42,43,34,6,6,1.22,28,0.757,19,0.899,24,22,17,42,26,28,32,16,40,35,19,19,13,16,11,2,11,34,38,15,47,7,15,21,14,88.4
Oklahoma,9.94,7.13,1.67,1.92,3.54,30,11,33,39,29,1,1.303,31,1.181,38,1.219,36,26,37,31,30,38,38.5,43,27,36,41,45,27,36,32,1,34,36,32,40,18,27,45,50,3,87.2
Oregon,10.71,8.29,3.06,4.17,1.06,15,49,38,4,16,36,1.305,32,0.749,16,0.92,25,33,30,32,38,12,22,14,19,37,17,39,32,32,36,33,26,16,19,29,44,28,10,31,47,102.2
Pennsylvania,11.15,8.46,2.82,2.52,3.12,27,43,19,17,15,40,1.413,39,1.216,40,1.277,39,24,34,37,35,36,43,33,34,38,46,22,11,28,45,28,13,33,22,41,39,12,14,5,33,97
Rhode Island,11.72,9.69,4.44,2.29,2.96,37,39,29,25,42,30,2.718,45,2.018,48,2.234,49,48,46,43,46,2.5,12,49,50,39,50,7,1,26,41,46,42,13,23,36,30,41,28,28,42,101.3
South Carolina,10.11,7.45,2.77,1.99,2.69,33,5,34,31,34,24,0.346,3,1.13,36,0.889,23,9,3,8,3,45,28,24,11,40,31,50,46,38,26,31,36,39,16,21,27,30,36,36,22,91.5
South Dakota,8.73,7.37,3.02,0,4.35,2,1,1,33,20,42,0.554,13,0.755,18,0.693,9,4,8,27,4,10,15,29,16,41,47,21,15,5,12,12,48,15,47,17,1,34,46,18,28,87.8
Tennessee,10.2,5.74,1.7,0.08,3.96,18,24,8,47,33,26,0.807,21,0.643,9,0.694,10,18,21,26,16,16,9,10,8,42,11,40,20,46,19,8,4,46,25,2,20,14,32,23,8,89.7
Texas,11.17,8.19,3.91,0,4.28,11,47,6,35,36,16,0.799,20,0.789,20,0.792,16,30,20,12,24,14,25,13,36,43,2,33,25,47,40,10,13,49,1,5,32,3,12,33,13,96.5
Utah,10.96,8.29,2.3,2.73,3.26,8,14,10,23,7,17,1.138,26,0.449,2,0.661,6,37,31,21,36,5,8,11,3,44,4,8,36,12,1,22,7,27,17,3,10,17,19,26,26,96.5
Vermont,8.84,10.75,5.04,2.41,3.3,43,44,39,16,49,15,1.398,36,0.438,1,0.733,13,21,33,45,25,7.5,7,36,14,45,5,3,2,1,14,38,46,1,50,33,31,49,26,5,40,103.1
Virginia,10.91,7.86,2.93,2.87,2.06,26,16,35,11,27,46,0.585,15,0.511,3,0.534,2,2,27,18,8,6,17,4,15,46,10,15,18,11,27,26,24,11,3,13,11,9,16,2,32,101.3
Washington,11.12,8.34,2.65,0,5.69,16,40,6,48,18,19,2.924,47,0.967,30,1.57,42,44,49,47,42,46,27,30,43,47,12,10,24,9,10,36,29,7,7,16,39,11,4,14,38,108.4
West Virginia,9.11,8.84,2.32,2.64,3.88,22,17,28,19,10,28,0.263,1,1.389,45,1.043,30,3,5,3,1,31,33,45,25,48,49,38,26,20,8,21,41,22,44,35,46,47,49,45,15,87.1
Wisconsin,10.19,8.89,3.25,2.72,2.92,25,30,37,7,17,35,1.018,22,0.898,26,0.935,26,28,24,24,29,34,31,41,41,49,28,11,16,13,15,19,27,31,36,31,23,21,16,8,23,91.9
Wyoming,8.26,6.14,3.33,0,2.81,1,1,1,6,39,29,0.489,10,0.825,21,0.721,12,13,10,15,10,19,34,18,22,50,24,46,41,15,3,25,29,22,34,43,4,49,40,15,20,92.8
