.,Year,Report Edition,SHA Miles,State Controlled Lane Miles,Capital Disbursements,Maintenence Disbursements,Administrative Disbursements,Total Disbursements,"Rural Interstate Poor Condition, Number of Miles, IRI > 170",Rural Interstate Total Miles Measured,"Rural Other Principal Arterial Poor Condition Miles, IRI> 220","Rural Other Principal Arterial, Total ","Urban Interstate Poor Condition Miles, IRI > 170",Urban Interstate Total Reported,"Urban Other Principal Arterial, Miles less than <220","Urban Other Principal Arterial, Total",Total Fatalities,Rural - I - OFE - OPA - Total Fatalities,Urban - I - OFE - OPA Total Fatalities,Total VMT,Rural VMT,Urban VMT,Highway Bridges,Deficient Bridges,Structurally Deficient Bridges,Congestion Metric Type ,Congestion Metric Reported
South Caroli,2005,16th,"41,582","89,543","745,790","303,411","85,681","1,299,916",-,577,1,"1,310",1,266,,,"1,026",581,69,"49,434","16,399","14,368","9,199","2,174",,Urban Interstate Percent Congested,49.37%
South Dakota,2005,16th,"8,038","18,135","321,887","56,129","46,942","443,825",-,611,58,"2,475",1,69,,,153,94,6,"8,397","4,618","1,157","5,835","1,495",,Urban Interstate Percent Congested,0.00%
Tennessee,2005,16th,"14,163","35,941","897,193","240,136","149,839","1,395,719",-,691,3,"1,772",7,414,,,277,130,100,"70,814","20,013","24,336","19,762","3,806",,Urban Interstate Percent Congested,43.96%
Texas,2005,16th,"79,651","190,570","5,691,657","1,406,398","250,642","8,460,629",2,"2,191",10,"6,879",27,"1,040",,,"2,602",973,900,"235,170","54,213","100,827","49,094","10,094",,Urban Interstate Percent Congested,59.67%
Utah,2005,16th,"5,868","15,260","478,668","101,345","89,997","834,236",30,720,-,989,-,219,,,201,159,41,"25,158","5,626","9,140","2,770",486,,Urban Interstate Percent Congested,42.52%
Vermont,2005,16th,"2,844","125,165","124,562","53,982","34,315","260,850",4,280,12,320,-,41,,,56,33,5,"7,713","3,074",928,"2,681",933,,Urban Interstate Percent Congested,5.00%
Virginia,2005,16th,"57,884","6,045","1,117,012","1,058,211","180,198","3,100,805",-,665,11,"1,450",18,447,,,807,304,195,"80,337","21,595","30,543","12,742","2,862",,Urban Interstate Percent Congested,42.54%
Washington,2005,16th,"17,836","18,367","1,118,922","359,012","106,500","1,963,642",13,467,2,"1,981",19,297,,,534,222,102,"55,476","10,386","24,828","7,384","1,813",,Urban Interstate Percent Congested,49.33%
West Virginia,2005,16th,"34,051","29,325","673,472","227,232","80,209","1,424,644",9,397,5,"1,076",7,159,,,329,165,45,"20,523","8,054","4,336","6,887","2,555",,Urban Interstate Percent Congested,3.80%
Wisconsin,2005,16th,"11,794","69,955","946,906","166,946","155,491","1,812,741",11,479,11,"3,191",10,259,,,661,242,133,"60,017","18,887","17,953","13,709","2,184",,Urban Interstate Percent Congested,36.88%
Wyoming,2005,16th,"7,404","15,590","267,525","88,068","41,353","426,163",11,823,1,"1,983",11,90,,,151,109,11,"9,058","4,615","1,172","2,772",343,,Urban Interstate Percent Congested,0.00%
Alabama,2006,17th,"11,147","28,156","857,317","147,502","185,899","1,319,640",17,544,2,"2,143",32,361,7,"1,095",998,354,211,"60,414","16,530","15,981","15,761","3,929",,Urban Interstate Percent Congested,46.00%
Alaska,2006,17th,"6,436","11,689","343,155","201,331","50,703","651,487",91,"1,013",108,651,-,68,3,61,53,24,4,"4,967","1,263","1,137","1,007",225,,Urban Interstate Percent Congested,7.20%
Arizo,2006,17th,"7,048","18,737","959,084","111,135","214,049","1,862,595",-,981,-,"1,163",-,188,56,943,"1,118",340,356,"62,468","12,608","26,290","7,095",393,,Urban Interstate Percent Congested,39.90%
Arkansas,2006,17th,"16,432","36,939","623,516","178,294","30,809","964,092",14,461,7,"2,241",11,194,26,596,512,276,92,"33,007","12,770","8,085","12,396","2,675",,Urban Interstate Percent Congested,61.10%
California,2006,17th,"18,251","50,594","3,550,769","801,123","1,227,632","8,170,010",49,"1,281",31,"3,498",151,"1,178","1,272","6,232","3,915",983,"1,620","327,478","45,575","185,358","24,749","4,385",,Urban Interstate Percent Congested,83.30%
Colorado,2006,17th,"10,356","22,993","525,303","342,627","70,154","1,239,265",17,685,29,"2,319",14,268,100,"1,192",480,193,150,"48,641","11,296","21,986","8,551","1,111",,Urban Interstate Percent Congested,41.30%
Connecticut,2006,17th,"3,959","9,782","527,013","164,283","62,882","1,189,360",-,43,1,164,11,302,84,685,259,20,116,"31,743","1,986","17,318","4,156","1,363",,Urban Interstate Percent Congested,62.40%
Delaware,2006,17th,"5,304","11,571","391,715","133,170","88,568","803,574",,,-,167,2,40,10,183,116,32,39,"9,442","1,597","3,705",858,153,,Urban Interstate Percent Congested,58.50%
Florida,2006,17th,"12,069","41,914","4,590,647","1,089,718","209,108","7,155,802",-,749,-,"2,856",1,721,30,"3,573","2,091",569,"1,172","203,741","25,552","78,745","10,953","2,000",,Urban Interstate Percent Congested,56.90%
Georgia,2006,17th,"17,994","47,192","1,626,151","211,466","245,771","2,559,455",-,715,-,"2,635",-,529,-,"1,933","1,205",379,301,"113,532","24,455","36,013","14,457","2,839",,Urban Interstate Percent Congested,54.10%
Hawaii,2006,17th,975,"2,409","154,993","31,553","57,560","296,251",-,6,3,110,13,49,30,228,144,45,54,"10,182","1,287","4,350","1,156",459,,Urban Interstate Percent Congested,40.80%
Idaho,2006,17th,"4,959","12,083","340,384","71,211","23,921","469,754",2,521,1,"1,715",9,90,21,291,216,97,41,"15,198","5,407","3,134","3,590",684,,Urban Interstate Percent Congested,36.00%
Illinois,2006,17th,"16,481","41,990","2,744,798","502,887","197,176","4,077,634",-,"1,359",16,"2,334",39,810,304,"3,052","1,042",207,343,"106,869","18,136","44,207","26,194","4,660",,Urban Interstate Percent Congested,42.20%
India,2006,17th,"11,183","28,340","813,924","418,600","61,551","1,730,913",-,853,3,"1,741",6,316,134,"1,532",491,164,25,"71,215","19,568","18,239","18,534","4,012",,Urban Interstate Percent Congested,30.80%
Iowa,2006,17th,"9,284","22,970","531,763","145,670","47,396","846,225",12,628,75,"3,426",19,152,106,740,336,190,45,"31,355","13,132","6,220","24,722","6,678",,Urban Interstate Percent Congested,41.40%
Kansas,2006,17th,"10,546","23,969","753,689","163,012","64,866","1,213,750",-,645,2,"3,013",-,198,125,682,387,225,40,"30,215","9,625","9,045","25,863","5,362",,Urban Interstate Percent Congested,25.10%
Kentucky,2006,17th,"27,775","61,208","884,587","300,314","31,452","1,396,608",-,554,2,"2,341",3,209,20,785,753,247,110,"47,742","16,687","12,693","13,616","3,893",,Urban Interstate Percent Congested,69.00%
Louisia,2006,17th,"16,690","38,438","1,249,852","468,686","47,258","1,857,913",35,478,26,980,32,317,186,"1,036",782,202,251,"45,417","10,999","15,556","13,175","3,937",,Urban Interstate Percent Congested,47.00%
Maine,2006,17th,"8,683","18,167","327,081","163,414","29,835","602,400",1,299,11,785,2,68,14,141,152,61,9,"15,044","6,061","1,799","2,282",684,,Urban Interstate Percent Congested,3.00%
Maryland,2006,17th,"5,287","14,657","1,097,745","272,002","68,652","1,716,854",1,182,1,433,20,288,217,"1,062",557,156,215,"56,302","9,343","29,314","5,039","1,355",,Urban Interstate Percent Congested,69.20%
Massachusetts,2006,17th,"3,244","8,638","897,326","229,773","215,518","2,429,983",-,91,-,166,3,477,28,"1,846",305,30,147,"55,136","2,773","31,823","5,050","1,826",,Urban Interstate Percent Congested,43.30%
Michigan,2006,17th,"9,734","27,545","1,333,691","271,790","114,243","2,166,468",78,608,42,"2,586",46,632,359,"2,287",928,325,255,"104,184","19,913","42,210","10,852","2,810",,Urban Interstate Percent Congested,43.80%
Minnesota,2006,17th,"13,242","29,240","866,704","387,218","130,947","1,514,635",15,675,7,"3,664",2,237,22,569,410,166,70,"56,518","18,313","15,229","13,657","1,776",,Urban Interstate Percent Congested,79.40%
Mississippi,2006,17th,"11,056","27,310","783,161","87,166","68,164","1,021,657",31,489,62,"1,910",11,197,73,972,771,198,97,"41,498","13,679","9,035","16,558","4,218",,Urban Interstate Percent Congested,40.70%
Missouri,2006,17th,"33,681","75,231","1,245,672","463,772","67,041","2,065,937",-,799,9,"3,257",11,381,49,988,943,409,219,"68,834","21,145","22,105","24,017","7,326",,Urban Interstate Percent Congested,54.80%
Monta,2006,17th,"11,075","24,461","332,549","102,454","77,444","565,129",7,"1,130",-,"2,621",3,63,20,182,209,164,10,"11,265","6,036","1,291","4,474",878,,Urban Interstate Percent Congested,0.00%
Nebraska,2006,17th,"10,225","22,461","400,939","107,844","58,128","636,762",-,420,13,"2,694",6,61,87,434,222,126,32,"19,415","8,203","4,494","15,454","3,681",,Urban Interstate Percent Congested,32.80%
Nevada,2006,17th,"5,923","13,051","579,372","112,025","126,947","972,080",-,450,-,"1,410",2,119,5,246,353,128,99,"21,824","4,126","8,003","1,810",71,,Urban Interstate Percent Congested,54.70%
New Hampshire,2006,17th,"4,011","8,828","264,002","83,039","52,430","490,623",35,150,9,358,9,74,13,221,101,41,14,"13,614","3,743","3,995","2,428",735,,Urban Interstate Percent Congested,42.70%
New Jersey,2006,17th,"2,911","8,506","1,715,631","422,637","208,777","5,353,876",6,66,3,246,63,361,397,"1,606",545,45,294,"75,371","4,401","42,378","6,440","1,769",,Urban Interstate Percent Congested,68.90%
New Mexico,2006,17th,"12,209","29,308","382,135","201,539","73,839","825,295",-,845,2,"1,830",4,155,41,667,397,210,33,"25,787","9,285","6,932","3,675",651,,Urban Interstate Percent Congested,15.40%
New York,2006,17th,"15,985","39,267","2,562,846","1,095,822","335,425","4,915,490",67,837,15,"1,454",101,844,841,"2,751","1,106",310,428,"141,348","15,244","57,575","17,391","6,625",,Urban Interstate Percent Congested,51.70%
North Caroli,2006,17th,"79,815","168,930","1,846,783","691,975","253,472","3,193,506",17,521,29,"2,000",19,560,118,"1,744","1,066",396,157,"101,515","20,276","31,585","18,042","5,602",,Urban Interstate Percent Congested,70.20%
North Dakota,2006,17th,"7,407","16,836","324,210","34,394","13,048","398,696",-,519,30,"2,933",-,52,15,168,80,57,2,"7,890","3,602","1,018","4,418","1,036",,Urban Interstate Percent Congested,0.00%
Ohio,2006,17th,"22,435","48,888","1,727,293","414,787","195,048","2,918,508",-,723,1,"1,965",9,850,160,"2,414",998,288,172,"111,247","20,278","42,012","30,559","7,112",,Urban Interstate Percent Congested,64.20%
Oklahoma,2006,17th,"13,391","30,061","657,233","197,102","97,780","1,948,264",7,681,60,"2,318",27,249,177,"1,043",611,315,105,"48,689","12,917","12,735","23,666","7,359",,Urban Interstate Percent Congested,34.50%
Oregon,2006,17th,"12,065","18,279","599,761","235,119","107,878","1,038,338",-,554,11,"2,776",-,172,36,750,427,205,77,"35,483","11,233","11,041","6,675","1,584",,Urban Interstate Percent Congested,45.30%
Pennsylvania,2006,17th,"43,237","88,293","2,272,207","1,328,258","461,560","5,308,553",9,"1,070",20,"1,937",21,673,189,"2,837","1,199",363,358,"108,278","24,770","39,787","23,533","9,360",,Urban Interstate Percent Congested,41.00%
Rhode Island,2006,17th,"1,104","2,908","242,039","94,301","24,061","470,865",-,22,5,49,-,49,72,360,80,6,43,"8,300",669,"5,206",773,413,,Urban Interstate Percent Congested,62.00%
South Caroli,2006,17th,"41,621","89,737","794,309","344,643","100,894","1,396,785",13,581,2,"1,307",1,261,41,"1,064",956,482,79,"50,199","16,426","14,441","9,192","2,144",,Urban Interstate Percent Congested,50.00%
South Dakota,2006,17th,"8,145","18,050","324,616","60,449","49,103","459,140",-,610,42,"2,535",1,69,11,132,154,89,13,"9,168","4,654","1,158","5,845","1,468",,Urban Interstate Percent Congested,1.40%
Tennessee,2006,17th,"14,177","36,110","930,209","246,240","143,910","1,357,239",-,688,4,"1,867",8,415,69,"1,547",898,320,248,"70,596","19,812","24,370","19,807","3,729",,Urban Interstate Percent Congested,46.50%
Texas,2006,17th,"79,852","191,530","5,822,909","1,824,018","269,683","8,823,843",-,"2,179",3,"6,955",24,"1,052",582,"5,058","2,639","1,006",897,"238,256","54,841","101,582","49,829","9,927",,Urban Interstate Percent Congested,50.70%
Utah,2006,17th,"5,848","15,237","563,568","103,102","129,375","969,553",12,721,7,986,5,217,4,349,193,145,47,"25,964","5,777","9,438","2,846",466,,Urban Interstate Percent Congested,46.50%
Vermont,2006,17th,"2,843","6,044","127,389","69,197","39,590","284,107",4,281,5,319,-,40,9,104,71,48,3,"7,832","3,027",915,"2,683",958,,Urban Interstate Percent Congested,5.00%
Virginia,2006,17th,"57,505","124,383","965,835","1,063,165","218,520","2,833,908",-,666,2,"1,453",18,447,84,"1,214",816,294,199,"81,095","21,898","30,475","13,110","3,029",,Urban Interstate Percent Congested,42.60%
Washington,2006,17th,"17,767","18,396","1,206,805","385,651","96,237","2,024,884",29,468,3,"1,980",36,297,238,"1,276",500,187,118,"56,517","10,475","25,098","7,181","1,880",,Urban Interstate Percent Congested,42.80%
West Virginia,2006,17th,"34,153","70,186","700,175","228,390","99,623","1,116,778",9,377,5,"1,039",7,179,8,294,290,172,19,"20,885","7,550","4,809","6,931","2,534",,Urban Interstate Percent Congested,4.50%
Wisconsin,2006,17th,"11,783","29,375","1,068,619","167,261","134,737","1,585,171",14,479,9,"3,187",11,261,160,"1,599",600,232,131,"59,398","18,800","18,195","13,774","2,122",,Urban Interstate Percent Congested,44.20%
Wyoming,2006,17th,"7,467","15,594","230,982","100,676","37,236","399,398",11,815,1,"1,983",5,97,16,198,173,117,10,"9,415","4,669","1,337","2,774",339,,Urban Interstate Percent Congested,0.00%
Alabama,2007,18th,"11,105","28,098","873,922","166,237","196,901","1,388,341",15,543,1,"2,147",15,345,6,986,930,330,158,"61,410","16,711","15,965","15,881","4,057",,Urban Interstate Percent Congested,5.90%
Alaska,2007,18th,"7,476","11,698","369,287","228,908","53,827","709,475",61,"1,012",107,651,1,68,3,62,58,6,13,"5,153","1,341","1,166","1,229",334,,Urban Interstate Percent Congested,53.90%
Arizo,2007,18th,"7,213","18,752","774,790","120,756","291,470","1,456,377",3,981,5,"1,165",-,188,52,988,892,282,285,"62,963","12,572","25,989","7,348",781,,Urban Interstate Percent Congested,48.70%
Arkansas,2007,18th,"16,440","37,025","565,066","140,936","31,040","872,781",18,460,10,"2,231",14,196,33,612,517,283,92,"33,171","12,667","8,196","12,531","2,905",,Urban Interstate Percent Congested,43.60%
California,2007,18th,"18,336","50,732","4,843,919","682,242","1,148,576","8,352,586",209,"1,281",38,"3,504",291,"1,177","1,357","6,296","3,605",885,"1,423","328,312","45,584","186,206","24,184","6,977",,Urban Interstate Percent Congested,83.00%
Colorado,2007,18th,"9,752","22,912","592,167","256,939","195,121","1,341,254",17,685,21,"2,317",14,268,102,"1,186",501,202,154,"48,713","11,462","21,810","8,366","1,404",,Urban Interstate Percent Congested,43.50%
Connecticut,2007,18th,"4,022","9,789","498,891","160,708","138,984","1,228,142",-,43,1,164,14,302,80,685,234,20,125,"32,053","2,025","17,481","4,175","1,400",,Urban Interstate Percent Congested,65.60%
Delaware,2007,18th,"5,345","11,642","276,511","121,552","74,098","676,383",,,-,165,2,40,18,178,89,27,26,"9,483","1,623","3,642",857,132,,Urban Interstate Percent Congested,43.90%
Florida,2007,18th,"12,062","42,080","5,152,228","870,883","224,693","7,473,569",-,746,-,"2,845",1,719,32,"3,572","2,000",521,"1,136","206,121","25,500","79,490","11,663","1,994",,Urban Interstate Percent Congested,48.50%
Georgia,2007,18th,"18,040","47,273","2,024,797","204,801","253,202","2,745,248",-,571,-,"2,605",-,445,2,"1,862","1,280",427,310,"112,541","24,219","36,080","14,563","2,916",,Urban Interstate Percent Congested,61.90%
Hawaii,2007,18th,999,"2,442","185,718","36,818","59,453","334,800",-,6,3,110,12,48,25,228,113,45,35,"10,345","1,298","4,440","1,115",500,,Urban Interstate Percent Congested,49.00%
Idaho,2007,18th,"4,959","12,093","359,635","99,607","25,919","555,303",3,521,2,"1,710",13,90,18,293,220,119,30,"15,782","5,639","3,274","4,104",801,,Urban Interstate Percent Congested,37.90%
Illinois,2007,18th,"16,765","41,977","2,984,030","590,660","228,048","4,529,768",-,"1,357",24,"2,337",39,813,325,"3,057","1,047",232,381,"107,483","18,246","45,034","25,998","4,341",,Urban Interstate Percent Congested,40.20%
India,2007,18th,"11,188","28,358","1,132,828","668,451","354,463","3,020,779",-,707,1,"1,734",13,465,126,"1,538",497,202,24,"71,478","17,506","20,366","18,494","4,034",,Urban Interstate Percent Congested,46.30%
Iowa,2007,18th,"9,438","22,974","566,937","151,043","49,822","881,730",10,628,55,"3,438",14,152,87,739,348,200,52,"31,253","12,999","6,112","24,776","6,608",,Urban Interstate Percent Congested,25.00%
Kansas,2007,18th,"10,607","23,997","634,650","161,089","61,498","1,077,076",-,646,2,"3,032",1,198,50,698,355,209,31,"30,048","9,632","9,015","25,461","5,363",,Urban Interstate Percent Congested,31.00%
Kentucky,2007,18th,"27,849","61,386","1,224,911","315,383","23,757","1,887,437",-,551,1,"2,342",1,209,23,784,717,282,96,"48,063","16,801","12,748","13,637","4,290",,Urban Interstate Percent Congested,67.90%
Louisia,2007,18th,"16,698","38,458","1,369,067","314,758","49,253","1,920,643",35,475,22,980,23,317,172,"1,013",770,209,233,"45,376","11,067","15,579","13,342","3,960",,Urban Interstate Percent Congested,46.40%
Maine,2007,18th,"8,676","18,111","277,672","163,393","34,141","557,473",-,299,17,787,1,67,15,141,147,80,7,"15,035","6,082","1,778","2,387",817,,Urban Interstate Percent Congested,43.70%
Maryland,2007,18th,"5,409","14,675","1,233,199","413,763","84,549","2,034,317",-,182,1,435,24,289,238,"1,067",524,131,223,"56,503","9,408","29,416","5,127","1,368",,Urban Interstate Percent Congested,73.20%
Massachusetts,2007,18th,"3,606","8,655","711,311","306,670","252,893","2,381,606",-,91,-,167,2,477,242,"1,846",225,17,168,"55,071","2,746","31,842","5,018","2,572",,Urban Interstate Percent Congested,2.90%
Michigan,2007,18th,"9,711","27,503","1,374,124","284,390","113,330","2,130,165",14,608,3,"2,585",47,634,382,"2,302",911,307,243,"104,614","19,640","41,903","10,923","2,888",,Urban Interstate Percent Congested,44.60%
Minnesota,2007,18th,"12,905","29,180","806,633","377,640","142,441","1,507,768",14,661,7,"3,696",5,253,17,593,123,67,23,"57,233","18,049","15,635","13,067","1,579",,Urban Interstate Percent Congested,80.50%
Mississippi,2007,18th,"11,046","27,395","1,117,763","164,730","76,255","1,439,426",5,493,9,"1,885",18,207,60,985,758,214,134,"43,337","13,826","9,188","17,007","4,317",,Urban Interstate Percent Congested,44.10%
Missouri,2007,18th,"33,685","75,471","1,357,132","1,772,522","70,036","3,561,451",-,721,10,"3,120",11,459,50,918,869,396,183,"69,151","18,363","24,272","24,071","7,541",,Urban Interstate Percent Congested,35.40%
Monta,2007,18th,"11,071","24,469","315,063","95,541","141,190","602,337",4,"1,130",1,"2,622",2,61,27,183,226,168,8,"11,307","6,084","1,344","4,980","1,014",,Urban Interstate Percent Congested,0.00%
Nebraska,2007,18th,"10,218","22,486","320,013","122,356","30,523","555,059",-,420,15,"2,693",5,63,89,468,197,107,27,"19,439","8,288","4,473","15,475","3,623",,Urban Interstate Percent Congested,69.40%
